"","coID","inventory","strata"
"1",4554,3.029166533,1
"2",6839,71.11070834,1
"3",8513,163.5928584,1
"4",9270,321.8923222,1
"5",8415,343.0677022,1
"6",8399,389.5180858,1
"7",4708,435.1184739,1
"8",9250,546.2736754,1
"9",9082,656.1716737,1
"10",8613,731.8197058,1
"11",8468,762.3891333,1
"12",8366,880.2255015,1
"13",5212,926.5559709,1
"14",6494,947.9312834,1
"15",9216,964.8160911,1
"16",9325,1001.609884,1
"17",2621,1002.034931,1
"18",8572,1006.425284,1
"19",9208,1264.718139,1
"20",9230,1302.973229,1
"21",6743,1392.889616,1
"22",8636,1458.628683,1
"23",8592,1487.645417,1
"24",8556,1493.534224,1
"25",1946,1494.698322,1
"26",8404,1663.538767,1
"27",9093,1712.60797,1
"28",4616,1799.86665,1
"29",8626,1986.83055,1
"30",9339,2320.827652,1
"31",3041,2331.463226,1
"32",6531,2429.508343,1
"33",5067,2503.952037,1
"34",9343,2574.767893,1
"35",9366,2607.62218,1
"36",9203,2706.586416,1
"37",6522,2742.419576,1
"38",6492,2747.00664,1
"39",9087,2763.887672,1
"40",5225,2882.963363,1
"41",8409,2887.516777,1
"42",8282,2892.734593,1
"43",3239,2892.972179,1
"44",5222,2925.838143,1
"45",8497,2990.580635,1
"46",8512,3004.679313,1
"47",8483,3032.216464,1
"48",3241,3236.215528,1
"49",6837,3256.031807,1
"50",8502,3296.467847,1
"51",9355,3389.035701,1
"52",6742,3393.725504,1
"53",7373,3502.049595,1
"54",6569,3636.271751,1
"55",6591,3647.468725,1
"56",6657,3703.152002,1
"57",2603,3723.521207,1
"58",3063,3723.793194,1
"59",6703,3740.133972,1
"60",6618,3802.150468,1
"61",6576,3846.492835,1
"62",8417,3859.252668,1
"63",8376,3879.625958,1
"64",6524,3902.455661,1
"65",2640,3972.417965,1
"66",3023,4027.610541,1
"67",8396,4093.62298,1
"68",8405,4132.119149,1
"69",1335,4154.516019,1
"70",8444,4158.103986,1
"71",6690,4233.095386,1
"72",8354,4324.236071,1
"73",6609,4334.96735,1
"74",1138,4343.704214,1
"75",8646,4383.76384,1
"76",6824,4505.596448,1
"77",6748,4523.300401,1
"78",6501,4559.136922,1
"79",8419,4564.697067,1
"80",7284,4575.849952,1
"81",8539,4579.336237,1
"82",9160,4648.611031,1
"83",6660,4656.438145,1
"84",6705,4663.520816,1
"85",8342,4762.802356,1
"86",4584,4801.623213,1
"87",8450,4829.514568,1
"88",8338,4835.208163,1
"89",6722,5013.61318,1
"90",8534,5016.885672,1
"91",8550,5082.32556,1
"92",8565,5126.794617,1
"93",6726,5139.77345,1
"94",6619,5178.974391,1
"95",9260,5219.945189,1
"96",8630,5230.714935,1
"97",6551,5235.449959,1
"98",5149,5246.188357,1
"99",6791,5272.385814,1
"100",8471,5315.715853,1
"101",6771,5316.276209,1
"102",8612,5323.470302,1
"103",8645,5378.319875,1
"104",6649,5426.2782,1
"105",6671,5437.072158,1
"106",8325,5541.343977,1
"107",4588,5554.530867,1
"108",9257,5557.462828,1
"109",8320,5566.588966,1
"110",6687,5586.375503,1
"111",9189,5611.979277,1
"112",6466,5658.6445,1
"113",8380,5687.451768,1
"114",8507,5734.578268,1
"115",8347,5735.63226,1
"116",8608,5741.83288,1
"117",7477,5767.256019,1
"118",8446,5771.061606,1
"119",8559,5794.000979,1
"120",8403,5840.349208,1
"121",7436,5845.48105,1
"122",8301,5874.601226,1
"123",8402,5884.793921,1
"124",9397,5886.135015,1
"125",6632,5901.29931,1
"126",9241,5906.841095,1
"127",9068,5907.162606,1
"128",4552,5936.581188,1
"129",8560,5942.633176,1
"130",8606,5968.551867,1
"131",4414,5987.634491,1
"132",8533,5990.210942,1
"133",6614,6049.450524,1
"134",8522,6055.73068,1
"135",9213,6221.629693,1
"136",6594,6233.086101,1
"137",6641,6279.364005,1
"138",6537,6285.098775,1
"139",6534,6295.913215,1
"140",9363,6432.782919,1
"141",5012,6445.073042,1
"142",8573,6465.18276,1
"143",9271,6504.826003,1
"144",6835,6530.93915,1
"145",2636,6551.511756,1
"146",6475,6639.25636,1
"147",4344,6642.627969,1
"148",9039,6645.583782,1
"149",8491,6699.124972,1
"150",8368,6721.504504,1
"151",7392,6731.297317,1
"152",6578,6756.016916,1
"153",7194,6770.641716,1
"154",3240,6776.341954,1
"155",6535,6788.922826,1
"156",2201,6805.146754,1
"157",5165,6813.533981,1
"158",6555,6820.719928,1
"159",9328,6821.69784,1
"160",6588,6850.224298,1
"161",9266,6932.280324,1
"162",6523,6934.556635,1
"163",6768,6977.206714,1
"164",6731,6989.835205,1
"165",6798,7003.90825,1
"166",6747,7004.88796,1
"167",7495,7077.006223,1
"168",6786,7085.840274,1
"169",8429,7107.558613,1
"170",6565,7111.473633,1
"171",8312,7125.521706,1
"172",8652,7149.05459,1
"173",6645,7153.853518,1
"174",6621,7167.619027,1
"175",7408,7172.973779,1
"176",8407,7196.994158,1
"177",7469,7272.88109,1
"178",9151,7323.145182,1
"179",7426,7325.0478,1
"180",5543,7326.574707,1
"181",6467,7326.811296,1
"182",6482,7334.232464,1
"183",6479,7345.7192,1
"184",8567,7358.044463,1
"185",8581,7385.181711,1
"186",9174,7457.751415,1
"187",2672,7465.474043,1
"188",6549,7491.378599,1
"189",6463,7495.795427,1
"190",8298,7509.496017,1
"191",2605,7556.724841,1
"192",8455,7556.793667,1
"193",6536,7588.609585,1
"194",6509,7627.864452,1
"195",7205,7630.938325,1
"196",6587,7649.571711,1
"197",8305,7696.883937,1
"198",6772,7714.860075,1
"199",6647,7720.307878,1
"200",6715,7846.763704,1
"201",7242,7858.465578,1
"202",6736,7873.991767,1
"203",7289,7877.749057,1
"204",7326,7906.348684,1
"205",3044,7959.887834,1
"206",9385,7975.494137,1
"207",5180,7993.899517,1
"208",8475,7997.393203,1
"209",8589,8009.144285,1
"210",6767,8040.9782,1
"211",6539,8068.528906,1
"212",6543,8099.10761,1
"213",6785,8202.514351,1
"214",9329,8218.13152,1
"215",8286,8225.672378,1
"216",6520,8246.854915,1
"217",7400,8254.497378,1
"218",7251,8266.26658,1
"219",6697,8295.874275,1
"220",6732,8300.427394,1
"221",9238,8319.055029,1
"222",4389,8328.75994,1
"223",9338,8337.9968,1
"224",4984,8356.607272,1
"225",8510,8380.481661,1
"226",8489,8390.242258,1
"227",8633,8394.112666,1
"228",6526,8399.027223,1
"229",6640,8418.311514,1
"230",6502,8454.516887,1
"231",6721,8457.347649,1
"232",6507,8458.260405,1
"233",7465,8466.686832,1
"234",4635,8474.334034,1
"235",8391,8477.639667,1
"236",6826,8493.493658,1
"237",6814,8505.159874,1
"238",5311,8509.841861,1
"239",8470,8518.258114,1
"240",6601,8519.919656,1
"241",6693,8529.33163,1
"242",6691,8543.510494,1
"243",6806,8549.900742,1
"244",6665,8602.1001,1
"245",8564,8627.730223,1
"246",4860,8657.192879,1
"247",9293,8707.53032,1
"248",8641,8714.0569,1
"249",6603,8731.609009,1
"250",7430,8746.238948,1
"251",7253,8791.481881,1
"252",5380,8799.870471,1
"253",6812,8833.626725,1
"254",8378,8845.417925,1
"255",4745,8864.407528,1
"256",8348,8870.142524,1
"257",1973,8870.209835,1
"258",9225,8909.628845,1
"259",6719,8936.019326,1
"260",8495,8936.641096,1
"261",5356,8987.529793,1
"262",4639,8997.617587,1
"263",8360,9013.557842,1
"264",6720,9035.920811,1
"265",6490,9051.633888,1
"266",6651,9066.304224,1
"267",8290,9073.393538,1
"268",8622,9075.703385,1
"269",1349,9083.353878,1
"270",6586,9125.828104,1
"271",8501,9129.091768,1
"272",7366,9162.893737,1
"273",6488,9172.643687,1
"274",7278,9188.281511,1
"275",6511,9205.694852,1
"276",8288,9267.828921,1
"277",8546,9294.051097,1
"278",8598,9335.093152,1
"279",8654,9386.959686,1
"280",6694,9401.526286,1
"281",5730,9419.399883,1
"282",9148,9423.771938,1
"283",7486,9473.254597,1
"284",8638,9482.900043,1
"285",8373,9496.295606,1
"286",8289,9542.190402,1
"287",6602,9574.591875,1
"288",4598,9578.983532,1
